# LTER Weather Station - Daily Precip and Air Temp
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/7
# The newest version of the data https://lter.kbs.msu.edu/datatables/7.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/5.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# date		date of observation
# precipitation	millimeter	liquid-equivalent depth of precipitation for the date
# flag_precip		first letter only, representing:  Good, Questionable, Missing, Estimated, or Trace
# air_temp_mean	celsius	mean air temperature, average of all hourly means
# flag_air_temp_mean		first letter only, representing:  Good, Questionable, Missing, or Estimated
# air_temp_max	celsius	maximum air temperature, highest of all hourly maxima
# flag_air_temp_max		first letter only, representing:  Good, Questionable, Missing, or Estimated
# air_temp_min	celsius	minimum air temperature, lowest of all hourly minima
# flag_air_temp_min		first letter only, representing:  Good, Questionable, Missing, or Estimated
# year		year in which the date occurs
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
date,precipitation,flag_precip,air_temp_mean,flag_air_temp_mean,air_temp_max,flag_air_temp_max,air_temp_min,flag_air_temp_min,year
#,millimeter,,celsius,,celsius,,celsius,,
2021-10-07,0,,14.25,,,,,,2021
2021-10-06,0,,16.50,,19.75,,13.80,,2021
2021-10-05,0,,17.19,,21.14,,15.07,,2021
2021-10-04,6,,18.05,,21.03,,15.88,,2021
2021-10-03,5,,19.54,,22.23,,17.70,,2021
2021-10-02,3,,17.59,,22.85,,12.71,,2021
2021-10-01,0,,16.85,,26.24,,7.94,,2021
2021-09-30,0,,15.54,,25.25,,8.13,,2021
2021-09-29,0,,15.49,,25.24,,8.63,,2021
2021-09-28,0,,15.65,,22.17,,9.87,,2021
2021-09-27,0,,20.60,,26.92,,15.66,,2021
2021-09-26,0,,17.32,,26.61,,9.35,,2021
2021-09-25,11,,14.72,,18.50,,10.61,,2021
2021-09-24,0,,15.65,,23.22,,6.79,,2021
2021-09-23,41,,9.65,,12.53,,7.47,,2021
2021-09-22,17,,12.10,,13.66,,8.42,,2021
2021-09-21,9,,19.73,,22.63,,12.83,,2021
2021-09-20,0,,21.86,,26.00,,17.91,,2021
2021-09-19,0,,20.48,,29.73,,12.40,,2021
2021-09-18,0,,20.52,,26.61,,15.21,,2021
2021-09-17,0,,20.14,,29.93,,11.29,,2021
2021-09-16,0,,17.39,,26.33,,9.37,,2021
2021-09-15,0,,19.09,,24.98,,10.80,,2021
2021-09-14,2,,22.69,,30.85,,17.32,,2021
2021-09-13,0,,20.24,,24.38,,18.01,,2021
2021-09-12,0,,23.53,,28.69,,19.56,,2021
2021-09-11,0,,23.10,,24.42,,22.58,,2021
2021-09-10,0,,16.52,,,,,,2021
2021-09-09,0,,16.01,,22.91,,9.33,,2021
2021-09-08,0,,19.34,,24.11,,14.55,,2021
2021-09-07,5,,18.22,,28.80,,10.55,,2021
2021-09-06,3,,18.60,,23.58,,11.17,,2021
2021-09-05,0,,20.05,,25.33,,14.03,,2021
2021-09-04,2,,19.61,,23.18,,16.84,,2021
2021-09-03,0,,17.06,,25.78,,9.65,,2021
2021-09-02,0,,17.39,,25.65,,9.32,,2021
2021-09-01,0,,19.08,,24.63,,13.10,,2021
2021-08-31,0,,19.96,,26.87,,13.66,,2021
2021-08-30,0,,23.08,,28.58,,15.57,,2021
2021-08-29,6,,25.41,,31.29,,22.45,,2021
2021-08-28,0,,26.44,,31.98,,21.80,,2021
